V1/V2   netlist                                                                      MAX err  AVG err
 1.150  (vin_out,vin_out,vin_out,vin_out,out_1,1_gnd,1_2,2_gnd)                            7        3
 1.150  (vin_0,vin_0,vin_out,out_2,2_0,0_gnd,0_3,3_gnd)                                   10        4
 1.150  (vin_1,1_0,1_0,vin_out,out_3,3_4,4_0,0_gnd)                                       11        4
 1.150  (vin_0,vin_out,out_2,2_3,3_0,3_0,3_0,0_gnd)                                       11        4
 1.150  (vin_0,vin_0,vin_out,out_0,vin_2,2_3,3_0,0_gnd)                                   11        4
 1.150  (vin_0,vin_0,vin_0,vin_out,out_0,out_2,2_0,0_gnd)                                 11        4
 1.154  (vin_0,vin_0,vin_out,out_0,out_0,0_2,2_gnd,2_gnd)                                  8        4
 1.154  (vin_0,vin_1,1_out,out_0,0_3,3_4,4_gnd)                                            9        4
 1.158  (vin_0,vin_0,vin_1,1_2,2_out,out_0,0_4,4_gnd)                                      6        4
 1.158  (vin_0,vin_out,out_2,2_3,3_0,0_gnd,0_4,4_gnd)                                     12        4
 1.160  (vin_out,vin_out,vin_1,1_out,out_2,2_3,3_gnd,3_gnd)                                5        3
 1.160  (vin_0,vin_0,vin_1,1_out,out_0,out_0,0_3,3_gnd)                                    6        3
 1.160  (vin_0,vin_1,1_0,1_out,out_0,0_3,3_4,4_gnd)                                        8        3
 1.160  (vin_0,vin_out,out_0,0_2,2_gnd,2_3,3_4,4_gnd)                                      9        4
 1.160  (vin_0,vin_out,out_0,out_2,2_3,3_0,0_4,4_gnd)                                      9        4
 1.160  (vin_1,vin_out,out_1,1_0,1_3,3_4,4_0,0_gnd)                                        9        4
 1.160  (vin_0,vin_1,1_0,vin_out,out_3,3_0,3_0,0_gnd)                                     10        4
 1.167  (vin_out,vin_out,out_1,1_2,2_3,3_gnd,2_4,4_gnd)                                    7        3
 1.167  (vin_out,vin_out,out_1,1_2,2_3,2_3,3_gnd,3_gnd)                                    7        3
 1.167  (vin_out,vin_out,vin_out,out_1,1_2,2_gnd,1_3,3_gnd)                                7        3
 1.167  (vin_out,vin_out,vin_out,out_1,1_2,1_2,2_gnd,2_gnd)                                7        3
 1.167  (vin_out,vin_out,out_0,out_0,0_2,2_3,3_gnd,3_gnd)                                  7        3
 1.167  (vin_out,vin_1,vin_1,1_out,1_out,out_2,2_3,3_gnd)                                  7        3
 1.167  (vin_out,vin_1,1_out,vin_2,2_out,out_3,3_4,4_gnd)                                  7        3
 1.167  (vin_out,vin_out,out_2,2_0,out_3,3_0,0_4,4_gnd)                                    7        3
 1.167  (vin_out,vin_out,out_2,out_2,2_0,2_0,0_3,3_gnd)                                    7        3
 1.167  (vin_out,vin_out,vin_1,vin_1,1_out,1_out,out_2,2_gnd)                              7        3
 1.167  (vin_out,vin_out,vin_1,1_out,vin_2,2_out,out_3,3_gnd)                              7        3
 1.167  (vin_out,vin_out,vin_out,out_2,2_0,out_3,3_0,0_gnd)                                7        3
 1.167  (vin_0,vin_1,1_0,vin_2,2_out,out_0,0_4,4_gnd)                                      7        4
 1.167  (vin_out,vin_out,out_1,1_2,2_gnd)                                                  7        5
 1.167  (vin_out,vin_out,vin_out,out_1,1_gnd)                                              7        5
 1.167  (vin_out,vin_1,1_out,out_2,2_3,3_4,4_gnd)                                          9        4
 1.167  (vin_0,vin_0,vin_out,out_0,0_2,0_2,2_gnd,2_gnd)                                    9        4
 1.167  (vin_0,vin_0,vin_out,out_0,0_2,2_gnd,0_3,3_gnd)                                    9        4
 1.167  (vin_out,vin_out,vin_out,vin_out,out_1,1_gnd,1_gnd)                                9        4
 1.167  (vin_0,vin_out,out_0,out_2,2_0,0_3,3_gnd)                                          9        4
 1.167  (vin_0,vin_1,1_out,out_3,3_0,0_4,4_gnd)                                            9        5
 1.167  (vin_out,out_0,vin_2,2_0,2_0,2_0,0_3,3_gnd)                                       10        4
 1.167  (vin_0,vin_out,vin_out,out_0,out_2,2_3,3_0,0_gnd)                                 10        4
 1.167  (vin_0,vin_out,out_0,0_2,2_gnd,2_3,3_gnd)                                         10        5
 1.167  (vin_1,vin_out,out_1,1_0,1_3,3_0,0_gnd)                                           10        5
 1.167  (vin_out,out_0,vin_2,2_0,0_3,3_4,4_gnd,4_gnd)                                     11        4
 1.167  (vin_1,1_0,vin_out,out_0,0_3,3_4,4_gnd,4_gnd)                                     11        4
 1.167  (vin_0,vin_out,out_2,2_0,0_3,0_3,3_gnd,3_gnd)                                     11        4
 1.167  (vin_0,vin_out,out_2,2_0,0_3,3_gnd,0_4,4_gnd)                                     11        4
 1.167  (vin_out,out_0,vin_2,2_3,3_0,0_4,4_5,5_gnd)                                       11        4
 1.167  (vin_1,1_0,vin_out,out_3,3_0,3_0,0_4,4_gnd)                                       11        4
 1.167  (vin_out,out_2,2_0,vin_3,vin_3,3_0,3_0,0_gnd)                                     11        4
 1.167  (vin_1,1_0,vin_2,2_0,vin_out,out_4,4_0,0_gnd)                                     11        4
 1.167  (vin_0,vin_out,vin_out,vin_out,out_0,out_0,out_0,0_gnd)                           11        4
 1.167  (vin_0,vin_out,out_2,2_3,3_0,2_4,4_0,0_gnd)                                       11        4
 1.167  (vin_0,vin_out,out_2,2_3,2_3,3_0,3_0,0_gnd)                                       11        4
 1.167  (vin_0,vin_out,out_0,vin_2,vin_2,2_0,2_0,0_gnd)                                   11        4
 1.167  (vin_0,vin_1,1_0,vin_out,vin_out,out_0,out_0,0_gnd)                               11        4
 1.167  (vin_0,vin_out,out_0,vin_2,2_0,vin_3,3_0,0_gnd)                                   11        4
 1.167  (vin_0,vin_1,1_0,vin_out,out_0,vin_3,3_0,0_gnd)                                   11        4
 1.167  (vin_0,vin_1,1_0,vin_2,2_0,vin_out,out_0,0_gnd)                                   11        4
 1.167  (vin_0,vin_0,vin_out,out_2,2_0,out_3,3_0,0_gnd)                                   11        4
 1.167  (vin_0,vin_0,vin_out,out_2,out_2,2_0,2_0,0_gnd)                                   11        4
 1.167  (vin_0,vin_out,out_2,2_0,0_gnd)                                                   11        7
 1.167  (vin_0,vin_0,vin_out,out_0,0_gnd)                                                 11        7
 1.167  (vin_out,out_2,2_0,vin_3,3_4,4_0,0_5,5_gnd)                                       12        4
 1.167  (vin_1,1_2,2_0,vin_out,out_4,4_0,0_5,5_gnd)                                       12        4
 1.167  (vin_0,vin_0,vin_out,vin_out,out_0,out_0,out_0,0_gnd)                             12        4
 1.167  (vin_1,1_0,vin_out,out_3,3_4,4_0,0_gnd)                                           13        5
 1.167  (vin_0,vin_0,vin_0,vin_out,out_0,out_0,0_gnd)                                     13        5
 1.167  (vin_out,out_1,1_2,2_3,3_4,4_5,5_gnd)                                             14        4
 1.167  (vin_out,out_0,0_2,2_3,3_4,4_5,5_gnd)                                             14        4
 1.167  (vin_out,out_2,2_0,0_3,3_4,4_5,5_gnd)                                             14        4
 1.167  (vin_out,out_2,2_3,3_0,0_4,4_5,5_gnd)                                             14        4
 1.167  (vin_out,out_2,2_3,3_4,4_0,0_5,5_gnd)                                             14        4
 1.167  (vin_out,out_2,2_3,3_4,4_5,5_0,0_gnd)                                             14        4
 1.167  (vin_out,vin_out,vin_out,vin_out,vin_out,vin_out,out_gnd)                         14        4
 1.172  (vin_0,vin_out,out_0,out_2,2_0,2_0,0_3,3_gnd)                                      9        4
 1.172  (vin_0,vin_out,out_0,0_2,2_gnd,2_3,3_gnd,3_gnd)                                   10        4
 1.172  (vin_1,vin_out,out_1,1_0,1_3,3_0,3_0,0_gnd)                                       10        4
 1.174  (vin_0,vin_0,vin_1,1_out,out_0,0_3,3_gnd,3_gnd)                                    9        4
 1.174  (vin_1,1_0,vin_out,out_0,out_0,0_3,3_4,4_gnd)                                     10        4
 1.174  (vin_1,1_0,vin_out,out_3,3_0,0_4,4_gnd,4_gnd)                                     12        4
 1.176  (vin_0,vin_0,vin_0,vin_out,out_0,0_gnd,0_2,2_gnd)                                  9        5
 1.176  (vin_out,out_0,vin_2,2_0,2_0,0_3,3_gnd)                                           11        5
 1.176  (vin_0,vin_out,vin_out,out_0,out_2,2_0,0_gnd)                                     11        5
 1.179  (vin_0,vin_1,vin_1,1_0,1_out,out_0,0_3,3_gnd)                                      7        4
 1.182  (vin_out,vin_out,out_1,1_2,2_gnd,2_3,3_4,4_gnd)                                    7        3
